Puerta del Sur;23:05;23:20;23:35;23:50;0:05;0:20;0:35;0:50;1:05;1:20;1:33
Joaquin Vilumbrales;23:07;23:22;23:37;23:52;0:07;0:22;0:37;0:52;1:07;1:22;1:34
Cuatro Vientos;23:11;23:26;23:41;23:56;0:11;0:26;0:41;0:56;1:11;1:26;1:38
Aviacion Española;23:12;23:27;23:42;23:57;0:12;0:27;0:42;0:57;1:12;1:27;1:39
Colonia Jardin;23:15;23:30;23:45;0:00;0:15;0:30;0:45;1:00;1:15;1:30;1:42
Casa de Campo;23:17;23:32;23:47;0:02;0:17;0:32;0:47;1:02;1:17;1:32;1:44
Batan;23:18;23:33;23:48;0:03;0:18;0:33;0:48;1:03;1:18;1:33;1:45
Lago;23:21;23:36;23:51;0:06;0:21;0:36;0:51;1:06;1:21;1:36;1:48
Principe Pio;23:24;23:39;23:54;0:09;0:24;0:39;0:54;1:09;1:24;1:39;1:50
Plaza de España;23:25;23:40;23:55;0:10;0:25;0:40;0:55;1:10;1:25;1:40;1:52
Tribunal;23:27;23:42;23:57;0:12;0:27;0:42;0:57;1:12;1:27;1:42;1:54
Alonso Martinez;23:28;23:43;23:58;0:13;0:28;0:43;0:58;1:13;1:28;1:43;1:55
Gregorio Marañon;23:30;23:45;0:00;0:15;0:30;0:45;1:00;1:15;1:30;1:45;1:57
Nuevos Ministerios;23:32;23:47;0:02;0:17;0:32;0:47;1:02;1:17;1:32;1:47;1:59
Santiago Bernabeu;23:33;23:48;0:03;0:18;0:33;0:48;1:03;1:18;1:33;1:48;2:00
Cuzco;23:35;23:50;0:05;0:20;0:35;0:50;1:05;1:20;1:35;1:50;2:02
Plaza de Castilla;23:37;23:52;0:07;0:22;0:37;0:52;1:07;1:22;1:37;1:52;2:03
Chamartin;23:39;23:54;0:09;0:24;0:39;0:54;1:09;1:24;1:39;1:54;2:05
Begoña;23:41;23:56;0:11;0:26;0:41;0:56;1:11;1:26;1:41;1:56;2:07
Fuencarral;23:43;23:58;0:13;0:28;0:43;0:58;1:13;1:28;1:43;1:58;2:09
Tres Olivos;23:44;23:59;0:14;0:29;0:44;0:59;1:14;1:29;1:44;1:59;2:10
